match_id,captain,team1,team2,winner,toss_winner,venue,date_of_match
4,Jennifer Ortega,RCB,GT,RCB,GT,Victorview,2024-11-30
3,Cynthia Calhoun,RCB,PBKS,PBKS,PBKS,Nicolechester,2024-06-17
9,Daniel Riddle,MI,LSG,MI,LSG,Derekbury,2025-03-10
2,Mark Johnson,PBKS,LSG,LSG,LSG,Chelseaview,2024-11-06
3,Eric Mullen,KKR,MI,MI,KKR,Lake Matthew,2024-05-31
5,Brian Smith,KKR,DC,KKR,KKR,Lake Henry,2024-09-25
3,Michael White,KKR,GT,KKR,KKR,Lake Markfurt,2024-07-02
9,Ms. Karen Ramirez,CSK,DC,CSK,CSK,Farmerton,2024-11-28
7,David Williams,SRH,MI,SRH,MI,Garychester,2025-01-15
5,Jeanette Ramsey MD,SRH,CSK,CSK,CSK,Clarenceton,2025-01-10
9,Kimberly Davis DVM,DC,KKR,KKR,KKR,Yolandamouth,2024-11-27
9,Kristen Greer DDS,GT,DC,DC,DC,Andreastad,2024-05-09
9,Ashley Morris,SRH,GT,SRH,SRH,Williamsmouth,2025-03-20
6,Andrew Espinoza,DC,PBKS,PBKS,DC,Port Brendaton,2024-12-09
4,Lori Moore,SRH,DC,DC,SRH,South Matthew,2025-03-14
4,Jessica Baldwin,GT,RCB,GT,GT,Gregorymouth,2024-07-20
4,Dr. Brittany Robinson,GT,PBKS,PBKS,GT,North Deborah,2024-06-24
6,Jacob Bennett,RCB,RR,RR,RR,West Juanview,2025-01-28
3,Timothy Cannon,KKR,LSG,KKR,LSG,East Janet,2025-01-17
7,Tammy Miller,PBKS,KKR,PBKS,KKR,Daleview,2024-06-09
9,Edward Garza,GT,SRH,SRH,GT,Matthewbury,2024-11-02
4,Rachel Cox,RCB,DC,DC,DC,Port Cynthiaborough,2024-09-29
5,Christopher Marquez,CSK,MI,MI,CSK,Harriston,2024-10-25
2,Amanda Munoz,RR,MI,MI,RR,Ellisside,2024-10-22
9,Donna Coleman,MI,RCB,MI,MI,Lake Steveport,2024-08-03
5,John Cruz,RCB,SRH,RCB,SRH,South Victor,2025-04-09
9,Mary Franklin DVM,MI,PBKS,PBKS,PBKS,Travisfurt,2024-08-04
3,Emily Durham,SRH,KKR,KKR,KKR,Lauriemouth,2024-11-03
2,Kayla Russo,LSG,PBKS,PBKS,PBKS,Flynnborough,2025-04-06
9,Catherine Thompson,DC,PBKS,DC,DC,East Karen,2025-01-07
5,Paul Moyer,GT,CSK,CSK,CSK,Jameschester,2024-08-02
4,Paul Navarro,PBKS,GT,GT,PBKS,Michaelport,2025-04-12
6,Savannah James,MI,RCB,MI,MI,Michaelmouth,2025-03-07
3,Christine Parker,MI,RCB,RCB,RCB,Thomashaven,2024-06-18
5,Taylor Patterson,DC,GT,DC,GT,Jacobstad,2025-04-27
9,Kimberly Cole,PBKS,DC,PBKS,PBKS,Port Josephshire,2024-05-25
9,Anthony Anderson,DC,LSG,LSG,DC,New Lindsey,2024-10-09
8,John Leach,CSK,GT,CSK,CSK,South Leonard,2025-03-25
4,David Sanders,PBKS,KKR,PBKS,PBKS,East Erictown,2025-03-24
2,Carmen Clark,PBKS,RR,PBKS,RR,East Matthewland,2025-03-29
9,Jacqueline Roy,SRH,GT,SRH,SRH,Shawnborough,2025-03-13
3,Bryan Miller,GT,PBKS,PBKS,PBKS,Jonesstad,2024-05-12
5,Catherine Taylor,RR,SRH,RR,SRH,Kimberlyborough,2024-06-17
7,David Young,KKR,GT,KKR,KKR,South Julianland,2024-09-16
9,Jasmine Byrd,GT,CSK,GT,CSK,Williamberg,2024-08-18
7,Robert Olson,CSK,MI,MI,MI,Theresaview,2024-10-07
2,Gloria Johnson,DC,PBKS,DC,DC,Hillside,2024-09-12
2,Juan Reyes,MI,GT,GT,MI,East Reginahaven,2025-04-04
4,Jeffrey Vasquez,PBKS,RCB,PBKS,RCB,New Laurahaven,2024-09-12
8,Alicia Byrd,CSK,SRH,SRH,CSK,Annaton,2024-10-20
6,Justin Walls,RR,DC,DC,RR,East William,2024-10-29
9,David Payne,RCB,SRH,SRH,SRH,Ballardview,2025-04-06
3,Ashley Guerra,RCB,MI,RCB,RCB,Samanthaborough,2025-03-29
9,Miranda Ward,PBKS,LSG,PBKS,LSG,New Deborah,2024-07-15
7,Sarah Young,MI,SRH,MI,MI,South Emily,2024-12-22
3,Elizabeth Miller,RR,RCB,RCB,RR,Johnmouth,2024-05-19
